village_id,village_name,population,healthcare_access,education_access,water_supply,electricity,road_connectivity,income_level
427,Kyadyxmuavville,331,Yes,No,None,Yes,Poor,High
428,Nkgoguatmruville,1759,No,No,Partial,Yes,Good,High
429,Exktyorlpqville,474,Yes,No,None,Yes,Good,Low
430,Adnrbdizwoiville,344,Yes,Yes,None,No,Fair,High
431,Twogylcpville,1155,Yes,Yes,None,Yes,Poor,Low
432,Vtixfjville,259,No,Yes,None,No,Fair,Medium
433,Lupsyuoqville,1914,No,Yes,Partial,No,Poor,Medium
434,Qebzzykhaville,1073,No,No,Full,No,Fair,Medium
435,Ufwooeuhpiiville,740,No,No,None,Yes,Poor,Low
436,Vrueveville,253,Yes,Yes,Full,No,Poor,Medium
437,Rmfhpzflkville,689,Yes,No,None,No,Good,High
438,Unknown,1122,No,Yes,Partial,Yes,Fair,Low
439,Hyyymqtmohville,920,No,Yes,None,Yes,Good,Medium
440,Pnppmkville,348,No,No,Full,No,Poor,Low
441,Ahliizvujville,1649,No,Yes,Full,No,Good,High
442,Lyxyjbnfhville,1937,No,No,Partial,No,Poor,Low
443,Konaykville,822,No,No,Full,No,Good,High
444,Xwgeqbanville,1092,No,Yes,None,No,Poor,Medium
445,Woifxzdville,1104,No,No,Full,No,Fair,Low
446,Euztxhjyefville,434,Yes,Yes,Partial,Yes,Poor,Low
447,Huulkxfpyville,1172,Yes,Yes,None,Yes,Good,Medium
448,Fwidndzville,1846,Yes,Yes,Partial,Yes,Poor,High
449,Kxhknkkcenhville,345,Yes,Yes,Full,Yes,Good,Medium
450,Tpuucczville,241,No,No,Full,Yes,Good,High
451,Rnofeueoowville,1831,Yes,No,Partial,No,Good,High
452,Fpjnxdkwtville,1273,Yes,No,None,Yes,Poor,Medium
453,Ilvrlhpkrhiville,554,No,Yes,Partial,Yes,Good,Low
454,Ohbsijveblsville,347,Yes,Yes,Full,No,Fair,High
455,Lfreceville,720,No,Yes,None,No,Fair,Medium
456,Ikjuyoahiville,1359,No,No,Partial,Yes,Poor,Low
457,Kuhkoiville,562,Yes,Yes,None,No,Good,Low
458,Vykdbystville,1495,No,Yes,Partial,No,Poor,High
459,Gdiibqvhgjyville,1993,Yes,Yes,Full,No,Poor,Medium
460,Jsdimnbville,948,Yes,No,Full,Yes,Poor,Low
461,Ipjllmdeevbville,589,No,Yes,Partial,Yes,Fair,Medium
462,Rpijskville,1136,Yes,No,None,No,Good,High
463,Hlwkgspville,913,Yes,Yes,Full,No,Poor,High
464,Wosazmjtutxville,1173,Yes,No,Partial,No,Fair,High
465,Unknown,551,No,Yes,Full,No,Fair,Low
466,Pjdsmlldtkville,1858,Yes,No,Full,No,Good,Medium
467,Fajupzyolnoville,1018,Yes,Yes,Partial,No,Fair,Medium
468,Rktjtpcwhville,1764,No,No,None,Yes,Poor,Low
469,Wyxwfvtville,1905,No,Yes,Partial,No,Good,High
470,Cmtufsgygsville,1798,Yes,Yes,Partial,No,Fair,Low
471,Jpmjouville,291,No,Yes,Full,Yes,Good,Low
472,Dbqgcwoxeville,296,Yes,Yes,Full,Yes,Good,High
473,Ttqbguataweville,1269,No,No,Full,No,Poor,High
474,Fcsjqwmuville,303,Yes,Yes,Partial,No,Good,High
475,Jblzqretnville,614,No,Yes,Partial,No,Fair,Low
476,Vlvuqdhfbryville,270,No,Yes,Partial,Yes,Fair,High
477,Cqowbrldville,1299,No,Yes,Full,Yes,Poor,High
478,Rudmbqville,1818,Yes,No,None,Yes,Poor,Medium
479,Jkkqpvfswville,1071,No,No,None,No,Fair,Low
480,Acajhhrville,1717,No,Yes,None,Yes,Fair,High
481,Unknown,1324,Yes,No,None,Yes,Fair,Medium
482,Vyzvkxkgville,217,Yes,No,Full,No,Poor,Low
483,Arernwqqnkyville,1890,No,No,None,No,Fair,Medium
484,Arxmglvville,1583,Yes,No,None,No,Poor,Medium
485,Unknown,1131,Yes,No,None,Yes,Good,Low
486,Nfjtlrxville,642,Yes,Yes,Full,No,Poor,Low
487,Svspqshrnzville,380,No,No,Full,Yes,Good,High
488,Acynynmjpville,1585,Yes,Yes,None,Yes,Fair,Low
489,Carsfofdpokville,1668,Yes,Yes,Full,Yes,Good,Medium
490,Peufemxlville,475,No,Yes,None,No,Poor,Low
491,Jdryfzville,1288,No,Yes,Partial,No,Poor,Medium
492,Kbpmosqibyville,1202,Yes,Yes,Full,Yes,Fair,High
493,Scaiyewdville,1755,No,Yes,Full,No,Good,Medium
494,Gttvirjfville,465,No,Yes,Partial,Yes,Fair,Low
495,Jqzrrcsville,1906,No,Yes,Partial,No,Good,Low
496,Omkfgpfqczville,434,Yes,No,None,No,Poor,High
497,Fnngmceymville,1094,No,Yes,Full,No,Poor,Medium
498,Ewifmcville,192,No,No,None,No,Fair,Medium
499,Unknown,705,No,Yes,Partial,No,Poor,Medium
500,Jkmhxpwqoville,1644,Yes,No,None,No,Poor,Medium
